mavpackettype,TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
RAD,76141303,176,165,94,24,68,0,0
RAD,76141386,176,165,94,24,68,0,0
RAD,77061297,176,167,94,34,71,0,0
RAD,77061381,176,167,94,34,71,0,0
RAD,78069213,176,168,91,24,76,0,0
RAD,78069241,176,168,91,24,76,0,0
RAD,79101294,176,171,94,23,56,0,0
RAD,79101332,176,171,94,23,56,0,0
RAD,83144207,178,172,94,25,52,0,0
RAD,83144233,178,172,94,25,52,0,0
RAD,85311335,178,169,66,29,44,0,0
RAD,85311363,178,169,66,29,44,0,0
RAD,86099011,178,169,94,25,90,0,0
RAD,86099038,178,169,94,25,90,0,0
RAD,87056729,178,170,94,26,56,0,0
RAD,87056804,178,170,94,26,56,0,0
RAD,88246770,177,169,86,27,37,0,0
RAD,88246824,177,169,86,27,37,0,0
RAD,89073774,176,168,94,24,60,0,0
RAD,89073801,176,168,94,24,60,0,0
RAD,90048809,175,166,94,24,44,0,0
RAD,90048890,175,166,94,24,44,0,0
RAD,91123790,177,171,91,28,47,0,0
RAD,91123898,177,171,91,28,47,0,0
RAD,92109312,177,168,92,23,58,0,0
RAD,92109338,177,168,92,23,58,0,0
RAD,116191294,177,170,91,22,49,0,0
RAD,116191320,177,170,91,22,49,0,0
RAD,118173766,177,170,88,26,47,0,0
RAD,118173798,177,170,88,26,47,0,0
RAD,119091361,177,168,91,26,53,0,0
RAD,119091417,177,168,91,26,53,0,0
RAD,120123798,177,166,93,34,78,0,0
RAD,120123823,177,166,93,34,78,0,0
RAD,132076370,178,170,94,24,57,0,0
RAD,132076396,178,170,94,24,57,0,0
RAD,133048948,178,171,94,25,45,0,0
RAD,133049035,178,171,94,25,45,0,0
RAD,136154346,178,166,94,27,78,0,0
RAD,136154377,178,166,94,27,78,0,0
RAD,137081631,178,167,94,26,49,0,0
RAD,137081707,178,167,94,26,49,0,0
RAD,138081372,178,167,94,26,78,0,0
RAD,138081439,178,167,94,26,78,0,0
RAD,139143789,178,166,94,24,76,0,0
RAD,139143815,178,166,94,24,76,0,0
RAD,140096302,178,170,93,23,44,0,0
RAD,140096405,178,170,93,23,44,0,0
RAD,141091311,178,170,94,37,61,0,0
RAD,141091339,178,170,94,37,61,0,0
RAD,142136655,178,170,94,25,43,0,0
RAD,142136682,178,170,94,25,43,0,0
RAD,143056288,178,170,94,28,50,0,0
RAD,143056329,178,170,94,28,50,0,0
RAD,144074079,178,171,94,29,47,0,0
RAD,144074150,178,171,94,29,47,0,0
RAD,145094126,179,170,94,24,70,0,0
RAD,145094153,179,170,94,24,70,0,0
RAD,146069217,171,168,94,24,53,0,0
RAD,146069244,171,168,94,24,53,0,0
RAD,147144256,169,162,94,27,51,0,0
RAD,147144283,169,162,94,27,51,0,0
RAD,148069198,169,163,94,26,48,0,0
RAD,148069271,169,163,94,26,48,0,0
RAD,149076251,168,160,94,23,50,0,0
RAD,149076320,168,160,94,23,50,0,0
RAD,150053803,171,165,94,26,61,0,0
RAD,150053829,171,165,94,26,61,0,0
RAD,152126258,182,176,94,24,48,0,0
RAD,152126328,182,176,94,24,48,0,0
RAD,153046719,183,176,90,32,65,0,0
RAD,153046746,183,176,90,32,65,0,0
RAD,154088870,184,176,94,31,46,0,0
RAD,154088941,184,176,94,31,46,0,0
RAD,241869211,176,164,94,33,66,0,0
RAD,241869281,176,164,94,33,66,0,0
RAD,242894084,176,164,94,26,57,0,0
RAD,242894110,176,164,94,26,57,0,0
RAD,243923810,176,169,94,23,68,0,0
RAD,243923837,176,169,94,23,68,0,0
RAD,244986308,176,167,86,26,62,0,0
RAD,244986337,176,167,86,26,62,0,0
RAD,245879164,176,169,92,42,36,0,0
RAD,245879191,176,169,92,42,36,0,0
RAD,246941635,176,169,94,52,56,0,0
RAD,246941662,176,169,94,52,56,0,0
RAD,247873795,176,162,94,27,50,0,0
RAD,247873865,176,162,94,27,50,0,0
RAD,248954353,176,170,94,23,39,0,0
RAD,248954427,176,170,94,23,39,0,0
RAD,249873833,176,170,94,25,72,0,0
RAD,249873859,176,170,94,25,72,0,0
RAD,250906669,176,165,94,24,65,0,0
RAD,250906694,176,165,94,24,65,0,0
RAD,251858825,176,171,96,23,66,0,0
RAD,251858851,176,171,96,23,66,0,0
RAD,252873807,176,167,94,23,61,0,0
RAD,252873836,176,167,94,23,61,0,0
RAD,253894159,176,165,94,34,54,0,0
RAD,253894223,176,165,94,34,54,0,0
RAD,254883781,177,170,94,34,79,0,0
RAD,254883806,177,170,94,34,79,0,0
RAD,255883847,177,166,94,32,72,0,0
RAD,255883872,177,166,94,32,72,0,0
RAD,256916637,177,166,94,22,36,0,0
RAD,256916691,177,166,94,22,36,0,0
RAD,257973831,177,170,90,25,59,0,0
RAD,257973858,177,170,90,25,59,0,0
RAD,258871314,177,168,94,25,41,0,0
RAD,258871340,177,168,94,25,41,0,0
RAD,259879243,177,168,94,28,62,0,0
RAD,259879309,177,168,94,28,62,0,0
RAD,261861369,177,169,95,28,66,0,0
RAD,261861426,177,169,95,28,66,0,0
RAD,262889214,177,169,94,24,50,0,0
RAD,262889283,177,169,94,24,50,0,0
RAD,263928883,178,170,94,26,69,0,0
RAD,263928947,178,170,94,26,69,0,0
RAD,264986324,172,167,86,27,63,0,0
RAD,264986349,172,167,86,27,63,0,0
RAD,265889246,178,170,94,27,52,0,0
RAD,265889313,178,170,94,27,52,0,0
RAD,266957909,174,162,94,25,47,0,0
RAD,266957935,174,162,94,25,47,0,0
RAD,267873861,175,160,94,25,51,0,0
RAD,267873886,175,160,94,25,51,0,0
RAD,269001812,178,172,82,31,64,0,0
RAD,269001837,178,172,82,31,64,0,0
RAD,269903820,178,172,94,27,52,0,0
RAD,269903857,178,172,94,27,52,0,0
RAD,271906338,174,161,94,31,59,0,0
RAD,271906363,174,161,94,31,59,0,0
RAD,273976347,170,158,89,23,59,0,0
RAD,273976372,170,158,89,23,59,0,0
RAD,274861946,167,156,94,24,78,0,0
RAD,274861977,167,156,94,24,78,0,0
RAD,275891634,162,154,94,34,77,0,0
RAD,275891659,162,154,94,34,77,0,0
RAD,277955393,165,159,94,25,71,0,0
RAD,277955419,165,159,94,25,71,0,0
RAD,278876293,166,159,94,29,70,0,0
RAD,278876369,166,159,94,29,70,0,0
RAD,279924112,165,157,94,29,49,0,0
RAD,279924137,165,157,94,29,49,0,0
RAD,280946336,166,158,94,52,64,0,0
RAD,280946362,166,158,94,52,64,0,0
RAD,281868979,166,160,94,28,43,0,0
RAD,281869021,166,160,94,28,43,0,0
RAD,282871418,171,163,94,30,56,0,0
RAD,282871510,171,163,94,30,56,0,0
RAD,283909072,172,166,94,29,48,0,0
RAD,283909097,172,166,94,29,48,0,0
RAD,284969040,172,168,91,27,56,0,0
RAD,284969093,172,168,91,27,56,0,0
RAD,285906356,174,166,94,25,69,0,0
RAD,285906385,174,166,94,25,69,0,0
RAD,286861808,174,167,95,28,52,0,0
RAD,286861885,174,167,95,28,52,0,0
RAD,287886349,175,169,94,39,50,0,0
RAD,287886374,175,169,94,39,50,0,0
RAD,288884100,174,164,94,33,51,0,0
RAD,288884125,174,164,94,33,51,0,0
RAD,289886301,171,165,94,27,53,0,0
RAD,289886330,171,165,94,27,53,0,0
RAD,291098860,172,165,53,26,60,0,0
RAD,291098885,172,165,53,26,60,0,0
RAD,291909418,174,167,94,32,56,0,0
RAD,291909459,174,167,94,32,56,0,0
RAD,292886342,174,167,94,27,55,0,0
RAD,292886412,174,167,94,27,55,0,0
RAD,293901669,176,164,94,28,46,0,0
RAD,293901698,176,164,94,28,46,0,0
RAD,294864228,180,171,94,26,39,0,0
RAD,294864298,180,171,94,26,39,0,0
RAD,295893840,180,172,94,27,37,0,0
RAD,295893865,180,172,94,27,37,0,0
RAD,296896667,179,167,94,25,38,0,0
RAD,296896693,179,167,94,25,38,0,0
RAD,297860253,176,170,95,28,75,0,0
RAD,297860319,176,170,95,28,75,0,0
RAD,299884159,175,166,94,33,49,0,0
RAD,299884256,175,166,94,33,49,0,0
RAD,301909382,171,164,94,29,59,0,0
RAD,301909407,171,164,94,29,59,0,0
RAD,302928877,171,161,94,28,63,0,0
RAD,302928951,171,161,94,28,63,0,0
RAD,303966272,171,161,92,46,51,0,0
RAD,303966353,171,161,92,46,51,0,0
RAD,304981357,171,164,88,26,56,0,0
RAD,304981383,171,164,88,26,56,0,0
RAD,305878878,171,164,94,28,58,0,0
RAD,305878903,171,164,94,28,58,0,0
RAD,306984190,176,170,87,41,55,0,0
RAD,306984215,176,170,87,41,55,0,0
RAD,307894223,176,172,90,26,49,0,0
RAD,307894248,176,172,90,26,49,0,0
RAD,308936359,177,171,94,25,55,0,0
RAD,308936415,177,171,94,25,55,0,0
RAD,310957806,177,170,94,28,62,0,0
RAD,310957831,177,170,94,28,62,0,0
RAD,311883825,176,168,94,31,44,0,0
RAD,311883852,176,168,94,31,44,0,0
RAD,312936341,175,165,94,28,44,0,0
RAD,312936366,175,165,94,28,44,0,0
RAD,313866390,173,164,94,34,49,0,0
RAD,313866498,173,164,94,34,49,0,0
RAD,314878872,173,164,94,33,42,0,0
RAD,314878897,173,164,94,33,42,0,0
RAD,315928950,176,171,94,25,57,0,0
RAD,315928975,176,171,94,25,57,0,0
RAD,316909129,178,168,94,27,55,0,0
RAD,316909154,178,168,94,27,55,0,0
RAD,317864228,177,167,95,28,39,0,0
RAD,317864305,177,167,95,28,39,0,0
RAD,318876689,177,167,94,35,40,0,0
RAD,318876715,177,167,94,35,40,0,0
RAD,319894107,177,165,94,24,56,0,0
RAD,319894132,177,165,94,24,56,0,0
RAD,320873819,176,161,94,24,60,0,0
RAD,320873878,176,161,94,24,60,0,0
RAD,321881717,180,175,94,28,63,0,0
RAD,321881797,180,175,94,28,63,0,0
RAD,322923869,180,175,94,41,62,0,0
RAD,322923912,180,175,94,41,62,0,0
RAD,323976555,180,172,89,25,76,0,0
RAD,323976608,180,172,89,25,76,0,0
